"ficha","idEntidade","codigoBanco","nomeBanco","codigoAgencia","digitoAgencia","nomeAgencia","codigoContaBancaria","digitoConta","nomeConta","aplicacaoAnterior","aplicacaoPeriodo","resgate","rentabilidade","saldoBancario","deposito","chequeTransito","creditoRegularizarBanco","debitoRegularizarBanco","credRegularizarJurisdicionado","debRegularizarJurisdicionado","regularizacao.emissao","regularizacao.numero","regularizacao.historico","regularizacao.origemConciliacao","regularizacao.tipoMovimento","regularizacao.valor"
"1210","1","1","Banco do Brasil S.A.","2763","4","AGENCIA BANCO BRASIL VGSUL","0000030006","3","BCO BRASIL - CONTA MOVIMENTO","87627.75","0","0","5336.11","661679.78","0","0","157436.21","227816.39","155051.46","614409.09","04/02/2025 00:00:00","","REEMBOLSO DE ADIANT. SALÁRIO 08/01 CREDITADO INDEVIDAMENTE NESTA CONTA, CORRETO É CREDITAR NA 1475","BANCO","ENTRADA","16413"
"1210","1","1","Banco do Brasil S.A.","2763","4","AGENCIA BANCO BRASIL VGSUL","0000030006","3","BCO BRASIL - CONTA MOVIMENTO","87627.75","0","0","5336.11","661679.78","0","0","157436.21","227816.39","155051.46","614409.09","04/02/2025 00:00:00","","REEMBOLSO ADIAN. SALÁRIO 08/01, EFETUADO INCORRETAMENTE NESTA CONTA, O CORRETO É CREDITAR A 1475","BANCO","ENTRADA","26932"
"1210","1","1","Banco do Brasil S.A.","2763","4","AGENCIA BANCO BRASIL VGSUL","0000030006","3","BCO BRASIL - CONTA MOVIMENTO","87627.75","0","0","5336.11","661679.78","0","0","157436.21","227816.39","155051.46","614409.09","04/02/2025 00:00:00","","REEMBOLSO DE ADIANT. SALÁRIO 08/01 CREDITADO INDEVIDAMENTE NESTA CONTA, CORRETO É CREDITAR NA 1475","BANCO","ENTRADA","10643"
"1210","1","1","Banco do Brasil S.A.","2763","4","AGENCIA BANCO BRASIL VGSUL","0000030006","3","BCO BRASIL - CONTA MOVIMENTO","87627.75","0","0","5336.11","661679.78","0","0","157436.21","227816.39","155051.46","614409.09","04/02/2025 00:00:00","","REEMBOLSO DE ADIANT. SALÁRIO 08/01 CREDITADO INDEVIDAMENTE NESTA CONTA, CORRETO É CREDITAR NA 1475","BANCO","ENTRADA","600"
"1210","1","1","Banco do Brasil S.A.","2763","4","AGENCIA BANCO BRASIL VGSUL","0000030006","3","BCO BRASIL - CONTA MOVIMENTO","87627.75","0","0","5336.11","661679.78","0","0","157436.21","227816.39","155051.46","614409.09","12/05/2025 00:00:00","","REEMBOLSO DE I.N.S.S FERNANDO BERNARDES MARIA, DEBITADO DA CONTA 1229, E PAGAMENTO NÃO EFETUADO NO BANCO","BANCO","ENTRADA","19.8"
"1210","1","1","Banco do Brasil S.A.","2763","4","AGENCIA BANCO BRASIL VGSUL","0000030006","3","BCO BRASIL - CONTA MOVIMENTO","87627.75","0","0","5336.11","661679.78","0","0","157436.21","227816.39","155051.46","614409.09","11/09/2025 00:00:00","","PIX RECEBIDO DE PAULO GIOVANI E NÃO CONTABILIZADO","BANCO","ENTRADA","51.69"
"1210","1","1","Banco do Brasil S.A.","2763","4","AGENCIA BANCO BRASIL VGSUL","0000030006","3","BCO BRASIL - CONTA MOVIMENTO","87627.75","0","0","5336.11","661679.78","0","0","157436.21","227816.39","155051.46","614409.09","27/11/2025 00:00:00","","ACERTO DE CONCILIAÇÃO DEBITADO DA CONTA 1447,REF. REEMBOLSO I.N.S.S, EFETUADO INCORRETAMENTE NO BANCO","BANCO","ENTRADA","24.68"
"1210","1","1","Banco do Brasil S.A.","2763","4","AGENCIA BANCO BRASIL VGSUL","0000030006","3","BCO BRASIL - CONTA MOVIMENTO","87627.75","0","0","5336.11","661679.78","0","0","157436.21","227816.39","155051.46","614409.09","03/12/2025 00:00:00","","TRANSFERÊNCIA RECEBIDA DA ASSOCIAÇÃO M CELESTINO E NÃO CONTABILIZADA","BANCO","ENTRADA","29169.54"
"1210","1","1","Banco do Brasil S.A.","2763","4","AGENCIA BANCO BRASIL VGSUL","0000030006","3","BCO BRASIL - CONTA MOVIMENTO","87627.75","0","0","5336.11","661679.78","0","0","157436.21","227816.39","155051.46","614409.09","04/12/2025 00:00:00","","TRANSFERÊNCIA RECEBIDA DA ASSOCIAÇÃO M CELESTINO E NÃO CONTABILIZADA","BANCO","ENTRADA","139.59"
"1210","1","1","Banco do Brasil S.A.","2763","4","AGENCIA BANCO BRASIL VGSUL","0000030006","3","BCO BRASIL - CONTA MOVIMENTO","87627.75","0","0","5336.11","661679.78","0","0","157436.21","227816.39","155051.46","614409.09","09/12/2025 00:00:00","","TED CREDITADO NO BANCO, POR GENTE SEGURADORA E NÃO CONTABILIZADO","BANCO","ENTRADA","18133.98"
